geneCluster	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GC00000001_20	197221.tll0214	8.5e-106	389.8	WLAB		K02022,K06147,K06148,K11085		bactNOG[38]	05BZ1@bactNOG,0FJM5@cyaNOG,COG1132@NOG	NA|NA|NA	V	ABC transporter
GC00000001_21	259536.Psyc_0652	5.4e-294	1015.0	WLAB		K02022,K06147,K06148,K11085		bactNOG[38]	05BZ1@bactNOG,0QKVN@gproNOG,16PGA@proNOG,COG1132@NOG	NA|NA|NA	V	(ABC) transporter
GC00000001_22	446471.Xcel_1071	4.8e-26	124.8	MDLB	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0031224,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06147		bactNOG[38]	00BIG@actNOG,05BZ1@bactNOG,COG1132@NOG	NA|NA|NA	V	abc transporter
GC00000001_23	575584.HMPREF0010_02309	2.1e-241	840.1	SCLAV_0395				bactNOG[38]	08N1B@bactNOG,0QPRJ@gproNOG,175TQ@proNOG,COG1132@NOG	NA|NA|NA	V	ABC transporter
GC00000001_24	857571.EA1_05157	1.3e-215	754.6	CYDD	GO:0000101,GO:0003333,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006857,GO:0006865,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0015711,GO:0015804,GO:0015833,GO:0015849,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0032973,GO:0033228,GO:0034220,GO:0034635,GO:0034641,GO:0034655,GO:0034775,GO:0035443,GO:0035672,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0042883,GO:0042886,GO:0042939,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046942,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0072337,GO:0072348,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K16013	CYSabc2pp,GTHRDabc2pp	bactNOG[38]	08JJ9@bactNOG,0RB03@gproNOG,173BT@proNOG,COG4988@NOG	NA|NA|NA	V	cysteine glutathione ABC transporter membrane ATP-binding
GC00000001_25	575584.HMPREF0010_02308	2.6e-231	806.6	SCLAV_0396				bactNOG[38]	05FDX@bactNOG,0QKT8@gproNOG,16T40@proNOG,COG1132@NOG	NA|NA|NA	V	ABC transporter
GC00000001_26	349106.PsycPRwf_1510	2.2e-63	247.7			K02013		bactNOG[38]	06NPK@bactNOG,0R32A@gproNOG,17YBJ@proNOG,COG1120@NOG	NA|NA|NA	P	ABC transporter
GC00000001_27	349106.PsycPRwf_1510	2.1e-72	277.7			K02013		bactNOG[38]	06NPK@bactNOG,0R32A@gproNOG,17YBJ@proNOG,COG1120@NOG	NA|NA|NA	P	ABC transporter
GC00000001_28	760568.Desku_0115	1.1e-60	238.8	FECE		K02013		bactNOG[38]	05E0A@bactNOG,0EQ47@cloNOG,0NEHB@firmNOG,COG1120@NOG	NA|NA|NA	P	Abc transporter
GC00000001_29	349106.PsycPRwf_0746	8.5e-103	378.6	FEPC		K02013		bactNOG[38]	05E0A@bactNOG,0QM51@gproNOG,16S6M@proNOG,COG1120@NOG	NA|NA|NA	P	(ABC) transporter
GC00000001_2	204773.HEAR3211	1e-92	345.1	PHNC	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02041		bactNOG[38]	05D5T@bactNOG,0BCF0@bproNOG,16QKX@proNOG,COG3638@NOG	NA|NA|NA	P	Phosphonate ABC transporter
GC00000001_30	272843.PM0399	3.9e-124	449.9	SITB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02013,K02074,K09817,K09820,K11603,K11607,K11710	MNabc_1,MNt2pp	bactNOG[38]	05DIK@bactNOG,0QJVM@gproNOG,16SSH@proNOG,COG1121@NOG	NA|NA|NA	P	abc transporter atp-binding protein
GC00000001_31	575584.HMPREF0010_00547	1.2e-130	471.1	OCAR_5053		K02013		bactNOG[38]	05E0A@bactNOG,0QP4K@gproNOG,17820@proNOG,COG1120@NOG	NA|NA|NA	P	abc transporter atp-binding protein
GC00000001_32	335284.Pcryo_1285	1.8e-129	467.2	FECE	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02013	FE3DCITabcpp	bactNOG[38]	05E0A@bactNOG,0QJE1@gproNOG,16RI1@proNOG,COG1120@NOG	NA|NA|NA	P	Atp-binding protein
GC00000001_33	561230.PC1_1526	2.1e-102	377.5	CBRD	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02013		bactNOG[38]	05E0A@bactNOG,0QJE1@gproNOG,16RI1@proNOG,COG1120@NOG	NA|NA|NA	P	Atp-binding protein
GC00000001_34	553217.ENHAE0001_1936	2.2e-106	390.6			K02074		bactNOG[38]	08DNU@bactNOG,0R9SM@gproNOG,170A2@proNOG,COG1121@NOG	NA|NA|NA	P	(ABC) transporter
GC00000001_35	243159.AFE_3164	5.9e-22	109.8			K01990		bactNOG[38]	05IYW@bactNOG,0R4YT@gproNOG,17F3V@proNOG,COG1131@NOG	NA|NA|NA	V	ABC transporter
GC00000001_36	658187.LDG_7873	4.9e-27	126.7			K01990		bactNOG[38]	05IYW@bactNOG,0R4YT@gproNOG,17F3V@proNOG,COG1131@NOG	NA|NA|NA	V	ABC transporter
GC00000001_37	862965.PARA_01190	2.5e-219	766.9	BACA	GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0005887,GO:0008150,GO:0009607,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044403,GO:0044419,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0071944,GO:0075136	K02471		bactNOG[38]	05CQ0@bactNOG,0QK4J@gproNOG,16SN7@proNOG,COG4178@NOG	NA|NA|NA	P	(ABC) transporter
GC00000001_38	637911.AM305_09071	5.4e-214	749.2	SBMA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02471		bactNOG[38]	05CQ0@bactNOG,16SN7@proNOG,COG4178@NOG	NA|NA|NA	S	ABC transporter
GC00000001_39	349106.PsycPRwf_1501	1.1e-232	811.2	YOJI	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0009636,GO:0015197,GO:0015833,GO:0015893,GO:0016020,GO:0022892,GO:0042221,GO:0042493,GO:0042884,GO:0042886,GO:0042891,GO:0044464,GO:0044699,GO:0044765,GO:0046677,GO:0050896,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:1901998	K06159,K06160,K06161		bactNOG[38]	05IBP@bactNOG,0QHWS@gproNOG,16PE3@proNOG,COG4615@NOG	NA|NA|NA	V	transporter
GC00000001_3	765910.MarpuDRAFT_0958	2e-171	607.8	YBTP		K06147,K06148		bactNOG[38]	05BZ1@bactNOG,0QI7N@gproNOG,16PGA@proNOG,COG1132@NOG	NA|NA|NA	V	ABC transporter
GC00000001_40	259536.Psyc_2034	1.2e-95	354.8	ZNUC	GO:0000041,GO:0003674,GO:0003824,GO:0005215,GO:0005385,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008150,GO:0008152,GO:0008324,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015075,GO:0015399,GO:0015405,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0030001,GO:0034220,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071577,GO:0071704,GO:0071944,GO:0072509,GO:0072511,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K02074,K09817	ZNabcpp	bactNOG[38]	05FDK@bactNOG,0QNBS@gproNOG,16S2V@proNOG,COG1121@NOG	NA|NA|NA	P	Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system (By similarity)
GC00000001_41	866774.HMPREF9248_0857	1.5e-188	664.5			K06158,K18230,K18231		bactNOG[38]	00V4G@actNOG,05C5H@bactNOG,COG0488@NOG	NA|NA|NA	S	ABC transporter, ATP-binding protein
GC00000001_42	649349.Lbys_0808	8.3e-230	801.6	SCLAV_5203		K19350		bactNOG[38]	05G6B@bactNOG,09A9H@bctoNOG,0FW7U@cytNOG,COG0488@NOG	NA|NA|NA	S	ABC transporter
GC00000001_43	575564.HMPREF0014_03050	6.2e-280	968.4	YHES	GO:0003674,GO:0003824,GO:0005215,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06158		bactNOG[38]	05C5H@bactNOG,0QI9V@gproNOG,16PJF@proNOG,COG0488@NOG	NA|NA|NA	S	abc transporter atp-binding protein
GC00000001_44	857571.EA1_07835	1.1e-306	1057.0	YJJK	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0030312,GO:0034641,GO:0034655,GO:0040007,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06020		bactNOG[38]	05C5H@bactNOG,0QITU@gproNOG,16PJF@proNOG,COG0488@NOG	NA|NA|NA	S	abc transporter atp-binding protein
GC00000001_45	575564.HMPREF0014_00378	5.6e-281	971.8	UUP	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005215,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0010528,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0031323,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0060255,GO:0065007,GO:0070894,GO:0071704,GO:0072521,GO:0072523,GO:0080090,GO:0097159,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K15738		bactNOG[38]	05C5H@bactNOG,0QI5Q@gproNOG,16PJF@proNOG,COG0488@NOG	NA|NA|NA	S	ABC transporter
GC00000001_46	553217.ENHAE0001_0833	3.4e-192	676.8	NIST		K06147,K06148		bactNOG[38]	05EGG@bactNOG,0QK77@gproNOG,0XPIZ@NOG,16S2T@proNOG	NA|NA|NA	S	(ABC) transporter
GC00000001_47	575588.HMPREF0017_01557	3.5e-228	796.2	RBSA1		K02056		bactNOG[38]	08JQ9@bactNOG,0RB2H@gproNOG,173FB@proNOG,COG3845@NOG	NA|NA|NA	S	(ABC) transporter
GC00000001_48	266779.Meso_3694	6.4e-127	459.5	TAGH	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K09689,K09691,K09693		bactNOG[38]	01WEZ@aproNOG,05EY8@bactNOG,16R0E@proNOG,COG1134@NOG	NA|NA|NA	G, M	ABC transporter
GC00000001_49	701347.Entcl_3741	9.3e-74	282.0	KPST	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K01990,K09689,K09691		bactNOG[38]	05EY8@bactNOG,0QJZ9@gproNOG,16R0E@proNOG,COG1134@NOG	NA|NA|NA	G, M	ABC transporter
GC00000001_4	762376.AXYL_05461	8.6e-183	645.6	YBTP		K06147,K06148		bactNOG[38]	05BZ1@bactNOG,0BIGD@bproNOG,16PGA@proNOG,COG1132@NOG	NA|NA|NA	V	ABC transporter
GC00000001_50	525244.HMPREF0023_0847	1.6e-215	754.2	YBHF		K01990,K01992		bactNOG[38]	05CJ1@bactNOG,0QJGF@gproNOG,16Q5M@proNOG,COG1131@NOG	NA|NA|NA	V	(ABC) transporter
GC00000001_51	400668.Mmwyl1_1820	4.2e-246	855.9	LIVG		K01995,K01998	ILEabcpp,LEUabcpp,VALabcpp	bactNOG[38]	05C0Z@bactNOG,0QQIX@gproNOG,16QFJ@proNOG,COG0411@NOG,COG4177@NOG	NA|NA|NA	E	ABC transporter-like protein
GC00000001_52	436717.AOLE_08670	8.4e-109	398.7	LIVG3		K01995		bactNOG[38]	05C0Z@bactNOG,0QJ5X@gproNOG,16PSW@proNOG,COG0411@NOG	NA|NA|NA	E	leucine isoleucine valine transporter, ATP-binding subunit
GC00000001_53	62928.azo1993	6.5e-95	352.4	AZO0314		K01996,K11958	ALAabcpp,GLNabcpp,GLYabcpp,HISabcpp,LEUabcpp,PROabcpp,SERabcpp	bactNOG[38]	07A7S@bactNOG,0B7IG@bproNOG,16ZSA@proNOG,COG0410@NOG	NA|NA|NA	E	ABC, transporter
GC00000001_54	436717.AOLE_08690	1.2e-101	374.8	LIVF1	GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015171,GO:0015658,GO:0015711,GO:0015803,GO:0015849,GO:0022857,GO:0022891,GO:0022892,GO:0034220,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705	K01996		bactNOG[38]	07RHC@bactNOG,0QKJA@gproNOG,16QEW@proNOG,COG0410@NOG	NA|NA|NA	E	(ABC) transporter
