"strainID"	"genecluster_num"	"lowerPCAT"	"highPCAT"	"proportion_more_to_less"	"percent_highPCAT"	"percent_lowerPCAT"	"ecotype"	"propername"
"okhotskensis_031"	2384	1356	950	0.700589970501475	0.398489932885906	0.568791946308725	"RE"	"P_okhotskensis_MD17"
"okhotskensis_080"	2396	1365	952	0.697435897435897	0.397328881469115	0.569699499165276	"RE"	"P_okhotskensis_A1004"
"pacificensis_032"	2380	1410	890	0.631205673758865	0.373949579831933	0.592436974789916	"FE"	"P_pacificensis_NIBH-P2K6"
"phenylpyruvicus_090"	2333	1402	865	0.6169757489301	0.370767252464638	0.600942991855979	"FE"	"P_phenylpyruvicus_ACAM535"
"piscatorii_048"	2568	1529	956	0.625245258338784	0.372274143302181	0.595404984423676	"RE"	"P_piscatorii_T-3-2"
"priscuii_086"	2208	1247	896	0.718524458700882	0.405797101449275	0.564764492753623	"FE"	"P_priscuii_LFX-15B1"
"proteolyticus_016"	2197	1293	832	0.643464810518175	0.378698224852071	0.588529813381884	"RE"	"P_proteolyticus_116"
"pulmonis_088"	2112	1258	788	0.626391096979332	0.373106060606061	0.595643939393939	"FE"	"P_pulmonis_S-606"
"pulmonis_089"	2530	1421	1039	0.731175228712175	0.410671936758893	0.561660079051383	"FE"	"P_pulmonis_ES2-W5a2"
"salsus_033"	2118	1277	776	0.607674236491778	0.366383380547686	0.602927289896128	"RE"	"P_salsus_DD48"
"sanguinis_017"	2152	1283	797	0.621200311769291	0.370353159851301	0.596189591078067	"FE"	"P_sanguinis_1501"
"sanguinis_091"	2224	1319	831	0.630022744503412	0.373651079136691	0.593075539568345	"FE"	"P_sanguinis_13983"
"sanguinis_092"	2278	1329	875	0.658389766741911	0.384108867427568	0.583406496927129	"FE"	"P_sanguinis_92"
"sanguinis_093"	2197	1329	788	0.592927012791573	0.358670914883933	0.604915794264907	"FE"	"P_sanguinis_10070"
"sp1044_082"	2388	1364	952	0.697947214076246	0.398659966499162	0.571189279731993	"RE"	"P_sp_1044"
"sp2ps_018"	2415	1386	951	0.686147186147186	0.393788819875776	0.573913043478261	"RE"	"P_sp_2pS"
"spCMS30_034"	2260	1289	904	0.701318851823119	0.4	0.570353982300885	"FE"	"P_sp_CMS30"
"spDD43_036"	2193	1235	899	0.727935222672065	0.409940720474236	0.563155494756042	"RE"	"P_sp_DD43"
"spH71_040"	2247	1323	849	0.64172335600907	0.377837116154873	0.588785046728972	"FE"	"P_sp_H7-1"
"spH81_042"	2488	1433	972	0.678297278436846	0.390675241157556	0.57596463022508	"RE"	"P_sp_H8-1"
"spHII4_041"	2289	1421	795	0.559465165376495	0.347313237221494	0.620795107033639	"FE"	"P_sp_HII-4"
"spIAM12030_053"	2289	1351	868	0.642487046632124	0.379204892966361	0.590214067278288	"RE"	"P_sp_IAM12030-72-O-c"
"spJCM18900_049"	2342	1377	889	0.64560639070443	0.379590093936806	0.587959009393681	"RE"	"P_sp_JCM18900"
"spJCM18902_051"	2340	1335	927	0.69438202247191	0.396153846153846	0.57051282051282	"RE"	"P_sp_JCM18902"
"spJCM18903_052"	2441	1380	979	0.709420289855072	0.401065137238837	0.565342072920934	"RE"	"P_sp_JCM18903"
"spNC44_083"	2302	1344	882	0.65625	0.383145091225022	0.583840139009557	"RE"	"P_sp_NC44"
"spPi21_038"	2272	1330	878	0.66015037593985	0.386443661971831	0.585387323943662	"RE"	"P_sp_Pi2-1"
"spPi251_037"	2375	1336	959	0.717814371257485	0.403789473684211	0.562526315789474	"RE"	"P_sp_Pi2-51"
"spPi252_039"	2326	1346	908	0.674591381872214	0.390369733447979	0.578675838349097	"RE"	"P_sp_Pi2-52"
"submarinus_043"	2236	1347	821	0.609502598366741	0.367173524150268	0.602415026833631	"RE"	"P_submarinus_KMM225"
"urativorans_019"	2435	1274	1100	0.863422291993721	0.451745379876797	0.523203285420945	"RE"	"P_urativorans_ACAM534"
"urativorans_084"	1966	1149	754	0.656222802436902	0.38351983723296	0.584435401831129	"RE"	"P_urativorans_ACAM311"
"vallis_020"	2284	1356	857	0.632005899705015	0.375218914185639	0.59369527145359	"RE"	"P_vallis_CMS39"
