geneCluster	Gene	Annotation	Min.group.size	Max.group.size	Avg.group.size	num_isolates	num_sequences	av_seq_per_isolate	num_basal_isolates	num_basal_seq	num_derived_isolates	num_derived_seq	num_flex_isolates	num_flex_seq	num_restricted_isolates	num_restricted_seq	GO_terms	KEGG_KOs	COG.cat	eggNOG.annot
GC00001840_1	hypothetical	NA	109	109	109	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	NA	"B, Q"	histone deacetylase
GC00000005_4	calB	Coniferyl_aldehyde_dehydrogena	45	511	485.1235955	85	87	1.02352941	7	7	78	80	27	27	58	60	NA	"K00128,K00154"	C	Aldehyde dehydrogenase
GC00000019_11	lpdG	Dihydrolipoyl_dehydrogena	146	485	478.1477273	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0004591,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006084,GO:0006085,GO:0006086,GO:0006090,GO:0006091,GO:0006099,GO:0006520,GO:0006544,GO:0006546,GO:0006637,GO:0006732,GO:0006793,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009060,GO:0009063,GO:0009069,GO:0009071,GO:0009108,GO:0009987,GO:0015980,GO:0016054,GO:0016491,GO:0016624,GO:0016903,GO:0019464,GO:0019752,GO:0032787,GO:0032991,GO:0035383,GO:0035384,GO:0043234,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044710,GO:0044712,GO:0045239,GO:0045240,GO:0045248,GO:0045252,GO:0045333,GO:0046395,GO:0051186,GO:0051188,GO:0055114,GO:0071616,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901605,GO:1901606"	K00382	C	dihydrolipoyl dehydrogenase
GC00000019_9	hypothetical	NA	105	569	540.8522727	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0003957,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0008150,GO:0008152,GO:0008324,GO:0008746,GO:0009117,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015672,GO:0015992,GO:0016491,GO:0016651,GO:0016652,GO:0019362,GO:0019637,GO:0019725,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0034220,GO:0034641,GO:0042592,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0045454,GO:0046483,GO:0046496,GO:0050789,GO:0050794,GO:0051179,GO:0051186,GO:0051234,GO:0055085,GO:0055086,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0072524,GO:1901360,GO:1901564"	"K00322,K00382,K17883"	C	"Conversion of NADPH, generated by peripheral catabolic pathways, to NADH, which can enter the respiratory chain for energy generation (By similarity)"
GC00000025_5	flhA	S-(hydroxymethyl)glutathione_dehydrogena	100	388	367.6391753	85	94	1.10588235	7	7	78	87	27	30	58	64	NA	K00121	C	alcohol dehydrogenase
GC00000040_3	fadH	"2,4-dienoyl-CoA_reducta"	411	751	712.7586207	85	85	1	7	7	78	78	27	27	58	58	NA	K00219	C	NADH:flavin oxidoreductase / NADH oxidase family
GC00000041_6	Putative	2-hydroxyacid_dehydrogena	311	335	314.6237624	85	97	1.14117647	7	13	78	84	27	35	58	62	"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0008465,GO:0016491,GO:0016614,GO:0016616,GO:0036094,GO:0044424,GO:0044464,GO:0044710,GO:0048037,GO:0050662,GO:0051287,GO:0055114,GO:0097159,GO:1901265,GO:1901363"	"K00018,K00058"	C	dehydrogenase
GC00000043_2	acn	Aconitate_hydratase_A	52	950	917.4157303	85	87	1.02352941	7	7	78	80	27	27	58	60	"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0003824,GO:0003994,GO:0005488,GO:0005506,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0006081,GO:0006082,GO:0006091,GO:0006097,GO:0006099,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009060,GO:0009061,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0015980,GO:0016020,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0030312,GO:0030350,GO:0032787,GO:0040007,GO:0042221,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0045333,GO:0046487,GO:0046872,GO:0046914,GO:0050896,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071704,GO:0071944,GO:0097159,GO:1901363"	K01681	C	aconitate hydratase
GC00000043_3	hypothetical	NA	51	903	853.7666667	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0003994,GO:0006091,GO:0006099,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0044237,GO:0044238,GO:0044710,GO:0045333,GO:0055114"	K01681	C	Aconitate hydratase
GC00000057_1	yqhD	Alcohol_dehydrogenase_YqhD	54	411	399.4545455	85	85	1	7	7	78	78	27	27	58	58	"GO:0000302,GO:0003674,GO:0003824,GO:0004022,GO:0004024,GO:0004033,GO:0005488,GO:0006066,GO:0006950,GO:0006979,GO:0008106,GO:0008150,GO:0008152,GO:0008270,GO:0016491,GO:0016614,GO:0016616,GO:0016620,GO:0016903,GO:0019751,GO:0033721,GO:0034311,GO:0042221,GO:0043167,GO:0043169,GO:0044281,GO:0044710,GO:0046872,GO:0046914,GO:0050896,GO:0051143,GO:0055114,GO:0071704,GO:1901615,GO:1901700"	"K00100,K08325,K19955"	C	alcohol dehydrogenase
GC00000073_3	fpr	Ferredoxin--NADP_reducta	91	257	252.741573	85	86	1.01176471	7	7	78	79	27	27	58	59	"GO:0003674,GO:0003824,GO:0004324,GO:0004550,GO:0006091,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006778,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009132,GO:0009165,GO:0009987,GO:0015994,GO:0016301,GO:0016310,GO:0016491,GO:0016730,GO:0016731,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0033013,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044710,GO:0046483,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0071704,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901576"	K00528	C	ferredoxin-NADP reductase
GC00000073_4	fpr	Flavodoxin/ferredoxin--NADP_reducta	66	288	273.1136364	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0004324,GO:0008150,GO:0008152,GO:0016491,GO:0016730,GO:0016731,GO:0044710,GO:0055114"	K00528	C	ferredoxin-NADP reductase
GC00000077_5	tas	Protein_ta	114	348	341.7386364	85	86	1.01176471	7	7	78	79	27	27	58	59	"GO:0003674,GO:0003824,GO:0004033,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0016491,GO:0016614,GO:0016616,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034198,GO:0042594,GO:0044699,GO:0044710,GO:0044763,GO:0050896,GO:0051716,GO:0055114,GO:0071496"	K05882	C	aldo keto reductase
GC00000081_1	fdxA	Ferredoxin_1	41	107	106.0531915	85	91	1.07058824	7	7	78	84	27	29	58	62	"GO:0003674,GO:0008150,GO:0008152,GO:0009055,GO:0044710,GO:0055114"	K05524	C	Ferredoxin
GC00000081_2_p2	fdx	Ferredox	82	83	82.02272727	85	86	1.01176471	7	8	78	78	27	28	58	58	"GO:0003674,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009987,GO:0044237,GO:0044710,GO:0055114"	NA	C	Ferredoxin
GC00000098_5	2-haloacrylate	a	283	343	333.6781609	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0003960,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0044710,GO:0055114"	K00344	C	alcohol dehydrogenase
GC00000109_r1_4	hypothetical	NA	167	233	214.1954023	85	85	1	7	7	78	78	27	27	58	58	NA	K02277	C	cytochrome
GC00000123_1	sucB	Dihydrolipoyllysine-residue_succinyltransferase_component_of_2-oxoglutarate_dehydrogenase_complex	406	429	414.6551724	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0004149,GO:0005488,GO:0005504,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006099,GO:0008150,GO:0008152,GO:0008289,GO:0009060,GO:0009987,GO:0015980,GO:0016417,GO:0016740,GO:0016746,GO:0016747,GO:0016748,GO:0016751,GO:0031405,GO:0031406,GO:0032991,GO:0033293,GO:0043167,GO:0043168,GO:0043234,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0045239,GO:0045240,GO:0045252,GO:0045333,GO:0048037,GO:0050662,GO:0055114,GO:0097159,GO:1901363,GO:1901681"	"K00627,K00658"	C	dihydrolipoamide succinyltransferase
GC00000123_2	aceF	Dihydrolipoyllysine-residue_acetyltransferase_component_of_pyruvate_dehydrogenase_complex	37	603	560.3555556	85	86	1.01176471	7	7	78	79	27	28	58	58	"GO:0003674,GO:0003824,GO:0004742,GO:0005488,GO:0005504,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006084,GO:0006085,GO:0006086,GO:0006090,GO:0006637,GO:0006732,GO:0006793,GO:0008150,GO:0008152,GO:0008289,GO:0009058,GO:0009108,GO:0009987,GO:0016407,GO:0016417,GO:0016418,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0030523,GO:0031405,GO:0031406,GO:0032787,GO:0032991,GO:0033293,GO:0035383,GO:0035384,GO:0043167,GO:0043168,GO:0043234,GO:0043436,GO:0044237,GO:0044249,GO:0044281,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044710,GO:0045250,GO:0045254,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0071616,GO:0071704,GO:0097159,GO:1901363,GO:1901576,GO:1901681"	K00627	C	Dihydrolipoamide acetyltransferase
GC00000126_1	atpD	ATP_synthase_subunit_beta	118	478	472.7727273	85	86	1.01176471	7	7	78	79	27	27	58	59	"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006164,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0008150,GO:0008152,GO:0008324,GO:0009056,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009141,GO:0009142,GO:0009143,GO:0009144,GO:0009145,GO:0009146,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009164,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009199,GO:0009201,GO:0009203,GO:0009205,GO:0009206,GO:0009207,GO:0009259,GO:0009260,GO:0009261,GO:0009579,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0015992,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0030312,GO:0032991,GO:0033178,GO:0034220,GO:0034357,GO:0034641,GO:0034654,GO:0034655,GO:0040007,GO:0042278,GO:0042451,GO:0042454,GO:0042455,GO:0042623,GO:0042625,GO:0042626,GO:0042651,GO:0042716,GO:0042717,GO:0043234,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0044769,GO:0045259,GO:0045260,GO:0045261,GO:0045262,GO:0046034,GO:0046128,GO:0046129,GO:0046130,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0046933,GO:0046961,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0090407,GO:1901135,GO:1901136,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659"	K02112	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)
GC00000126_2	atpA	ATP_synthase_subunit_alpha	157	514	509.9431818	85	86	1.01176471	7	7	78	79	27	27	58	59	"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006164,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0008150,GO:0008152,GO:0008324,GO:0009056,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009141,GO:0009142,GO:0009143,GO:0009144,GO:0009145,GO:0009146,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009164,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009199,GO:0009201,GO:0009203,GO:0009205,GO:0009206,GO:0009207,GO:0009259,GO:0009260,GO:0009261,GO:0009579,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0015992,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0030312,GO:0032991,GO:0033178,GO:0034220,GO:0034357,GO:0034641,GO:0034654,GO:0034655,GO:0040007,GO:0042278,GO:0042451,GO:0042454,GO:0042455,GO:0042623,GO:0042625,GO:0042626,GO:0042651,GO:0042716,GO:0042717,GO:0043234,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0044769,GO:0045259,GO:0045260,GO:0045261,GO:0045262,GO:0046034,GO:0046128,GO:0046129,GO:0046130,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0046933,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0090407,GO:1901135,GO:1901136,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659"	K02111	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)
GC00000131_5	sdhA	Succinate_dehydrogenase_flavoprotein_sub	616	616	616	85	85	1	7	7	78	78	27	27	58	58	"GO:0000104,GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006091,GO:0006099,GO:0008150,GO:0008152,GO:0009055,GO:0009060,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016627,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0043234,GO:0044237,GO:0044238,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044710,GO:0045273,GO:0045274,GO:0045281,GO:0045282,GO:0045333,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0070469,GO:0070470,GO:0071944,GO:0097159,GO:1901265,GO:1901363"	"K00239,K00242"	C	"succinate dehydrogenase, flavoprotein subunit"
GC00000145_2	erpA	Iron-sulfur_cluster_insertion_protein_ErpA	109	134	124.6022727	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0005488,GO:0006091,GO:0008150,GO:0008152,GO:0009058,GO:0009060,GO:0009061,GO:0009987,GO:0010467,GO:0015980,GO:0016043,GO:0016226,GO:0019538,GO:0022607,GO:0031163,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044710,GO:0045333,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051604,GO:0055114,GO:0071704,GO:0071840"	"K13628,K15724"	C	Required for insertion of 4Fe-4S clusters for at least IspG (By similarity)
GC00000152_1	prpC	2-methylcitrate_syntha	375	380	376.8850575	85	85	1	7	7	78	78	27	27	58	58	"GO:0001101,GO:0003674,GO:0003824,GO:0004108,GO:0006082,GO:0006091,GO:0006113,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009607,GO:0009987,GO:0015980,GO:0016042,GO:0016054,GO:0016740,GO:0016746,GO:0016829,GO:0016830,GO:0016833,GO:0019541,GO:0019543,GO:0019626,GO:0019629,GO:0019679,GO:0019752,GO:0032787,GO:0042221,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044403,GO:0044419,GO:0044710,GO:0044712,GO:0046395,GO:0046459,GO:0046912,GO:0050440,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0055114,GO:0071704,GO:0072329,GO:0075136,GO:1901575"	"K01647,K01659,K01681"	C	citrate synthase
GC00000152_2	gltA	Citrate_syntha	425	431	426.3793103	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003824,GO:0004108,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006091,GO:0006099,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016020,GO:0016740,GO:0016746,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0045333,GO:0046912,GO:0055114"	"K01647,K09159"	C	citrate synthase
GC00000202_2	glpK	Glycerol_kina	71	552	512.3444444	85	86	1.01176471	7	7	78	79	27	28	58	58	"GO:0003674,GO:0003824,GO:0004370,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006066,GO:0006071,GO:0006793,GO:0006796,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019400,GO:0019751,GO:0033554,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0050896,GO:0051716,GO:0071704,GO:1901615"	K00864	C	Key enzyme in the regulation of glycerol uptake and metabolism (By similarity)
GC00000216_3	fumC	Fumarate_hydratase_class_II	77	467	456.0786517	85	86	1.01176471	7	7	78	79	27	27	58	59	"GO:0003674,GO:0003824,GO:0004333,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006099,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0044710,GO:0045333,GO:0050896,GO:0055114"	K01679	C	fumarate hydratase Class II
GC00000271_2	hypothetical	NA	88	345	331.5505618	85	85	1	7	7	78	78	27	27	58	58	NA	NA	C	Luciferase family
GC00000313_3	yceJ	Cytochrome_b561	144	202	176.2417582	85	89	1.04705882	7	7	78	82	27	29	58	60	NA	K12262	C	Cytochrome B561
GC00000324	icd	Isocitrate_dehydrogenase_[NADP]	127	780	725.3009709	85	100	1.17647059	7	13	78	87	27	34	58	66	"GO:0000287,GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0004448,GO:0005488,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0006081,GO:0006082,GO:0006091,GO:0006097,GO:0006099,GO:0006102,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016614,GO:0016616,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0030312,GO:0032787,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044262,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0045333,GO:0046487,GO:0046872,GO:0055114,GO:0071704,GO:0071944,GO:0072350"	K00031	C	Isocitrate dehydrogenase
